[DEBUG] 11:47:12:110 GAMECARD_DBG/(557:557): (FileSystem TallGrass| Tam.Bloque:64 Bytes| Cant.Bloques:4096| Tamaño FS:256 Kbytes| Magic_Number:555)

[DEBUG] 11:47:12:115 GAMECARD_DBG/(557:557): (TallGrass Iniciado  | Bloques Libres:4097| Espacio Disponible:256 Kb.)

[DEBUG] 11:47:13:118 GAMECARD_DBG/(557:561): (Intervalo para reconexión con Broker: 600 segundos)

[INFO] 19:05:53:370 GAMECARD_DBG/(8069:9150): SAVE BLOCK | FILE 12.bin
[INFO] 19:05:53:377 GAMECARD_DBG/(8069:9155): SAVE BLOCK | FILE 3.bin
[INFO] 19:05:53:396 GAMECARD_DBG/(8069:9160): SAVE BLOCK | FILE 4.bin
[INFO] 19:05:53:396 GAMECARD_DBG/(8069:9160): SAVE BLOCK | FILE 1.bin
[INFO] 19:05:53:403 GAMECARD_DBG/(8069:9164): SAVE BLOCK | FILE 5.bin
[INFO] 19:05:53:412 GAMECARD_DBG/(8069:9169): SAVE BLOCK | FILE 6.bin
[INFO] 19:05:53:427 GAMECARD_DBG/(8069:9174): SAVE BLOCK | FILE 7.bin
[INFO] 19:05:53:437 GAMECARD_DBG/(8069:9179): SAVE BLOCK | FILE 8.bin
[INFO] 19:05:53:445 GAMECARD_DBG/(8069:9185): SAVE BLOCK | FILE 9.bin
[INFO] 19:05:53:460 GAMECARD_DBG/(8069:9190): SAVE BLOCK | FILE 2.bin
[INFO] 19:05:54:436 GAMECARD_DBG/(8069:9236): SAVE BLOCK | FILE 10.bin
[INFO] 19:05:54:446 GAMECARD_DBG/(8069:9241): SAVE BLOCK | FILE 11.bin
[INFO] 19:05:54:460 GAMECARD_DBG/(8069:9246): SAVE BLOCK | FILE 12.bin
[INFO] 19:05:54:469 GAMECARD_DBG/(8069:9251): SAVE BLOCK | FILE 3.bin
[INFO] 19:05:54:470 GAMECARD_DBG/(8069:9251): SAVE BLOCK | FILE 1.bin
[INFO] 19:05:54:476 GAMECARD_DBG/(8069:9256): SAVE BLOCK | FILE 4.bin
[INFO] 19:05:54:486 GAMECARD_DBG/(8069:9260): SAVE BLOCK | FILE 5.bin
[INFO] 19:05:54:502 GAMECARD_DBG/(8069:9266): SAVE BLOCK | FILE 6.bin
[INFO] 19:05:54:509 GAMECARD_DBG/(8069:9271): SAVE BLOCK | FILE 7.bin
[INFO] 19:05:54:531 GAMECARD_DBG/(8069:9276): SAVE BLOCK | FILE 8.bin
[INFO] 19:05:54:539 GAMECARD_DBG/(8069:9281): SAVE BLOCK | FILE 9.bin
[INFO] 19:05:54:558 GAMECARD_DBG/(8069:9286): SAVE BLOCK | FILE 2.bin
[INFO] 19:05:54:563 GAMECARD_DBG/(8069:9290): SAVE BLOCK | FILE 10.bin
[INFO] 19:05:54:571 GAMECARD_DBG/(8069:9295): SAVE BLOCK | FILE 11.bin
[INFO] 19:05:54:580 GAMECARD_DBG/(8069:9300): SAVE BLOCK | FILE 12.bin
[INFO] 19:05:54:580 GAMECARD_DBG/(8069:9300): SAVE BLOCK | FILE 1.bin
[INFO] 19:05:54:595 GAMECARD_DBG/(8069:9304): SAVE BLOCK | FILE 3.bin
[INFO] 19:05:54:607 GAMECARD_DBG/(8069:9311): SAVE BLOCK | FILE 4.bin
[INFO] 19:05:54:621 GAMECARD_DBG/(8069:9315): SAVE BLOCK | FILE 5.bin
[INFO] 19:05:54:629 GAMECARD_DBG/(8069:9320): SAVE BLOCK | FILE 6.bin
[INFO] 19:05:54:637 GAMECARD_DBG/(8069:9326): SAVE BLOCK | FILE 7.bin
[INFO] 19:05:54:654 GAMECARD_DBG/(8069:9331): SAVE BLOCK | FILE 8.bin
[INFO] 19:05:55:660 GAMECARD_DBG/(8069:9377): SAVE BLOCK | FILE 9.bin
[INFO] 19:05:55:678 GAMECARD_DBG/(8069:9380): SAVE BLOCK | FILE 2.bin
[INFO] 19:05:55:680 GAMECARD_DBG/(8069:9383): SAVE BLOCK | FILE 10.bin
[INFO] 19:05:55:689 GAMECARD_DBG/(8069:9388): SAVE BLOCK | FILE 11.bin
[INFO] 19:05:55:689 GAMECARD_DBG/(8069:9388): SAVE BLOCK | FILE 1.bin
[INFO] 19:05:55:698 GAMECARD_DBG/(8069:9394): SAVE BLOCK | FILE 12.bin
[INFO] 19:05:55:716 GAMECARD_DBG/(8069:9400): SAVE BLOCK | FILE 3.bin
[INFO] 19:05:55:723 GAMECARD_DBG/(8069:9404): SAVE BLOCK | FILE 4.bin
[INFO] 19:05:55:736 GAMECARD_DBG/(8069:9411): SAVE BLOCK | FILE 5.bin
[INFO] 19:05:55:752 GAMECARD_DBG/(8069:9416): SAVE BLOCK | FILE 6.bin
[INFO] 19:05:55:760 GAMECARD_DBG/(8069:9420): SAVE BLOCK | FILE 7.bin
[INFO] 19:05:55:776 GAMECARD_DBG/(8069:9426): SAVE BLOCK | FILE 8.bin
[INFO] 19:05:55:784 GAMECARD_DBG/(8069:9431): SAVE BLOCK | FILE 9.bin
[INFO] 19:05:55:795 GAMECARD_DBG/(8069:9437): SAVE BLOCK | FILE 2.bin
[INFO] 19:05:55:813 GAMECARD_DBG/(8069:9442): SAVE BLOCK | FILE 10.bin
[INFO] 19:05:55:814 GAMECARD_DBG/(8069:9442): SAVE BLOCK | FILE 1.bin
[INFO] 19:05:55:826 GAMECARD_DBG/(8069:9447): SAVE BLOCK | FILE 11.bin
[INFO] 19:05:55:850 GAMECARD_DBG/(8069:9452): SAVE BLOCK | FILE 12.bin
[INFO] 19:05:55:855 GAMECARD_DBG/(8069:9455): SAVE BLOCK | FILE 3.bin
[INFO] 19:05:55:873 GAMECARD_DBG/(8069:9460): SAVE BLOCK | FILE 4.bin
[INFO] 19:05:55:887 GAMECARD_DBG/(8069:9467): SAVE BLOCK | FILE 5.bin
[INFO] 19:05:55:902 GAMECARD_DBG/(8069:9472): SAVE BLOCK | FILE 6.bin
[DEBUG] 19:06:18:40 GAMECARD_DBG/(9514:9514): (FileSystem TallGrass| Tam.Bloque:64 Bytes| Cant.Bloques:4096| Tamaño FS:256 Kbytes| Magic_Number:555)

[DEBUG] 19:06:18:52 GAMECARD_DBG/(9514:9514): (TallGrass Iniciado  | Bloques Libres:4085| Espacio Disponible:255 Kb.)

[DEBUG] 19:06:19:100 GAMECARD_DBG/(9514:9518): (Intervalo para reconexión con Broker: 60 segundos)

[DEBUG] 19:06:49:173 GAMECARD_DBG/(9522:9522): (FileSystem TallGrass| Tam.Bloque:64 Bytes| Cant.Bloques:4096| Tamaño FS:256 Kbytes| Magic_Number:555)

[DEBUG] 19:06:49:184 GAMECARD_DBG/(9522:9522): (TallGrass Iniciado  | Bloques Libres:4085| Espacio Disponible:255 Kb.)

[DEBUG] 19:06:50:235 GAMECARD_DBG/(9522:9526): (Intervalo para reconexión con Broker: 60 segundos)

[DEBUG] 19:07:48:200 GAMECARD_DBG/(9537:9537): (FileSystem TallGrass| Tam.Bloque:64 Bytes| Cant.Bloques:4096| Tamaño FS:256 Kbytes| Magic_Number:555)

[DEBUG] 19:07:48:214 GAMECARD_DBG/(9537:9537): (TallGrass Iniciado  | Bloques Libres:4085| Espacio Disponible:255 Kb.)

[DEBUG] 19:07:49:262 GAMECARD_DBG/(9537:9541): (Intervalo para reconexión con Broker: 60 segundos)

[DEBUG] 19:08:41:823 GAMECARD_DBG/(9565:9565): (FileSystem TallGrass| Tam.Bloque:64 Bytes| Cant.Bloques:4096| Tamaño FS:256 Kbytes| Magic_Number:555)

[DEBUG] 19:08:41:835 GAMECARD_DBG/(9565:9565): (TallGrass Iniciado  | Bloques Libres:4085| Espacio Disponible:255 Kb.)

[DEBUG] 19:08:42:888 GAMECARD_DBG/(9565:9569): (Intervalo para reconexión con Broker: 60 segundos)

[INFO] 19:09:02:29 GAMECARD_DBG/(9565:9574): SAVE BLOCK | FILE 12.bin
[INFO] 19:09:06:310 GAMECARD_DBG/(9565:9578): SAVE BLOCK | FILE 3.bin
[INFO] 19:09:07:576 GAMECARD_DBG/(9565:9582): SAVE BLOCK | FILE 12.bin
[INFO] 19:09:08:396 GAMECARD_DBG/(9565:9586): SAVE BLOCK | FILE 3.bin
[INFO] 19:09:09:114 GAMECARD_DBG/(9565:9590): SAVE BLOCK | FILE 12.bin
